status,symbol,direction,time_utc,price_or_na,reason_or_outcome
REJECTED,GBPUSD,BUY,2026-07-17 08:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-17 09:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-20 15:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-20 16:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-21 11:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-21 12:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-21 13:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,EURUSD,BUY,2026-07-21 14:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,BUY,2026-07-21 15:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,BUY,2026-07-22 10:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-23 03:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,BUY,2026-07-23 12:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-07-23 14:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-24 07:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-24 15:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-26 22:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-26 23:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-27 00:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-27 01:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-27 01:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-28 16:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-07-29 12:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-29 20:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-29 20:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-29 21:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-29 22:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-07-30 16:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-07-30 16:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-07-31 11:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-31 11:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-07-31 12:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-31 12:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-07-31 13:00:00+00:00,,CORRELATED_OR_PORTFOLIO_RISK_CAP
REJECTED,GBPUSD,BUY,2026-07-31 13:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-08-03 16:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,BUY,2026-08-03 16:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,BUY,2026-08-03 17:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,BUY,2026-08-03 17:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-08-04 09:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-08-04 10:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-08-04 11:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,GBPUSD,SELL,2026-08-04 11:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
REJECTED,EURUSD,SELL,2026-08-04 13:00:00+00:00,,SYMBOL_ALREADY_HAS_OPEN_POSITION
